model,scenario,region,variable,unit,subannual,2019,2020,2022,2025,2030,2035,2040,2045,2050
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Capacity|Commercial|Heat Pumps,GW,Year,13.533572494907958,15.055535752835569,19.462140221323352,50.191022436316416,101.40582612797152,175.49557278997963,249.58531945198771,309.1945729479557,368.80382644392375
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Capacity|Residential and Commercial|Heat Pumps,GW,Year,126.72221691776645,132.35470927273855,147.28279886161909,238.67489231872605,390.995048080571,605.4271336563397,819.8592192321084,986.569798695331,1153.2803781585535
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Capacity|Residential|Heat Pumps,GW,Year,113.1886453252924,117.29917305219853,127.82065933115014,188.48387159249955,289.58922536141523,429.9315612911768,570.2738972209384,677.3752277967986,784.4765583726589
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Electricity,EJ/yr,Year,2.4308815667537287,2.457249158942461,2.4484210181288653,2.468393426846315,2.5016807747087317,2.5864242482120017,2.671167721715274,2.7552404262093524,2.8393131307034305
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Gases|Fossil,EJ/yr,Year,2.0480281723280305,2.105754217868536,2.075913913687695,1.9223399558672416,1.6663833594998203,1.290137306574898,0.9138912536499756,0.6811099453783636,0.4483286371067512
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Heat,EJ/yr,Year,0.5067483856146271,0.5477501450181979,0.5464197155856697,0.5689816838286663,0.6065849642336602,0.6081640201068681,0.609743075980076,0.5986147824271472,0.587486488874218
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Liquids|Fossil,EJ/yr,Year,0.7751761384715777,0.8002006670139951,0.7856420764001071,0.6855156031742795,0.5186381477979,0.3646622427113458,0.2106863376247915,0.1437565437245199,0.076826749824248
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solar,EJ/yr,Year,0.0154667755541587,0.0451970107988005,0.0711287389567577,0.1099659669146136,0.174694680177707,0.1929161340631241,0.2111375879485405,0.2104399078493758,0.2097422277502105
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Biomass,EJ/yr,Year,0.1214436547683125,0.1304005776304524,0.1309281714031827,0.1267286462965011,0.1197294377853654,0.0907885275539387,0.0618476173225121,0.0425111297683734,0.0231746422142352
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Fossil,EJ/yr,Year,0.0561148925053056,0.0625923987471275,0.0567001200868867,0.047632092083011,0.0325187120765515,0.0167495537461018,0.0009803954156522,0.0005084149292985,3.64344429447383e-05
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Gases|Fossil,EJ/yr,Year,6.212757174531361,6.341424474503923,6.203413534182487,5.626869888518174,4.665963812410985,3.633526022873649,2.6010882333363115,2.0010098321742142,1.4009314310121173
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Heat,EJ/yr,Year,1.4249549211526744,1.4739159952828218,1.486966844692232,1.5398824324608416,1.628075078741857,1.653561068966609,1.6790470591913604,1.6616181322872292,1.6441892053830989
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Liquids|Fossil,EJ/yr,Year,2.304251245834165,2.3364839009882403,2.2997992268647054,2.0036351634043954,1.5100283909705454,1.087891226092323,0.6657540612141005,0.4699616807229163,0.2741693002317319
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solar,EJ/yr,Year,0.0943974135952871,0.1340421528875581,0.2136470910045305,0.3365724077812032,0.5414479357423245,0.6496360735327456,0.757824211323167,0.7929440199513905,0.8280638285796145
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,Year,1.8546409954014944,1.8454912553112293,1.7185125315218088,1.544863747410885,1.2554491072260123,0.884442486469196,0.51343586571238,0.3492611248333319,0.1850863839542839
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Fossil,EJ/yr,Year,0.486013916354067,0.575408672377306,0.5837882855876149,0.4803598766184211,0.3079791950030983,0.1578324274629484,0.0076856599227985,0.0039640567450108,0.0002424535672229
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Electricity,EJ/yr,Year,1.650827270742643,1.6843366727056472,1.6612992169404672,1.7524403583083592,1.9043422605881792,2.184190561807412,2.464038863026643,2.6242831214262887,2.7845273798259336
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Gases|Fossil,EJ/yr,Year,6.212757174531361,6.341424474503923,6.203413534182487,5.626869888518174,4.665963812410985,3.633526022873649,2.6010882333363115,2.0010098321742142,1.4009314310121173
