model,scenario,region,variable,unit,subannual,2019,2020,2022,2025,2030,2035,2040,2045,2050
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Capacity|Commercial|Heat Pumps,GW,Year,13.533572494907958,15.061246237397429,19.392210382560734,55.49244101765362,115.65949207614176,219.39256276827652,323.12563346041134,376.8508201146433,430.5760067688752
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Capacity|Residential and Commercial|Heat Pumps,GW,Year,126.72221691776645,132.42311395565048,147.11992490338162,249.67856765998292,420.6096389209852,740.1728282101685,1059.736017499352,1221.6423010766157,1383.5485846538795
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Capacity|Residential|Heat Pumps,GW,Year,113.1886453252924,117.361869113714,127.72771498590538,194.1861266817038,304.9501461747012,520.7802644602623,736.6103827458235,844.7914849791724,952.9725872125211
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Electricity,EJ/yr,Year,2.4308815667537287,2.45722945500636,2.448331215602693,2.478231863030891,2.5280662754112204,2.664636130164816,2.801205984918411,2.8619326362118964,2.922659287505381
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Gases|Fossil,EJ/yr,Year,2.0480281723280305,2.1050771330839084,2.0742687363190884,1.8807587544241955,1.5582421179327075,1.080661731493349,0.6030813450539907,0.4203044888909689,0.2375276327279472
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Heat,EJ/yr,Year,0.5067483856146271,0.5478038567730426,0.54667103357633,0.5741854446532662,0.6200427964481593,0.6422418201000242,0.6644408437518893,0.6466059816940501,0.6287711196362111
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Liquids|Fossil,EJ/yr,Year,0.7751761384715777,0.800320740250753,0.7864374477503575,0.6973627851084516,0.5489050140386087,0.3568772640755908,0.1648495141125736,0.1090512069404198,0.0532528997682665
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solar,EJ/yr,Year,0.0154667755541587,0.0451615932538503,0.0709545153258646,0.1083712501213074,0.1707324747803782,0.1882909117030055,0.2058493486256324,0.2006967658276139,0.1955441830295956
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Biomass,EJ/yr,Year,0.1214436547683125,0.130844253414209,0.1312805433597918,0.1314201180206662,0.1316527424554568,0.1003381963444511,0.0690236502334457,0.0495043204653354,0.0299849906972251
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Fossil,EJ/yr,Year,0.0561148925053056,0.0626399573949919,0.0567046756852812,0.0476657741284091,0.0326009382002888,0.0167730009258552,0.0009450636514215,0.0004812863100913,1.7508968761070776e-05
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Gases|Fossil,EJ/yr,Year,6.212757174531361,6.340256218762554,6.20063142368265,5.51920914864277,4.3835053569096365,3.027554867850553,1.6716043787914705,1.1787422823558755,0.6858801859202817
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Heat,EJ/yr,Year,1.4249549211526744,1.4738868463941786,1.4878512195332392,1.549801415054843,1.6530517409241825,1.7434478475370256,1.8338439541498688,1.8148816696249237,1.7959193850999768
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Liquids|Fossil,EJ/yr,Year,2.304251245834165,2.3359218429395687,2.299482187227112,2.027953732313107,1.5754063074564315,1.0374355772582915,0.4994648470601519,0.3385162975773695,0.1775677480945875
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solar,EJ/yr,Year,0.0943974135952871,0.1340139542971871,0.213729269249596,0.3359589227802632,0.5396750119980411,0.6361238394601955,0.7325726669223501,0.7329129076242668,0.733253148326183
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,Year,1.8546409954014944,1.846727723615344,1.7195937260876222,1.5597814650682251,1.2934276967025642,0.914015851002658,0.5346040053027524,0.371002144233897,0.2074002831650417
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Fossil,EJ/yr,Year,0.486013916354067,0.5753805159729372,0.5836568993690878,0.4803175123175823,0.3080852005650729,0.1578982606092711,0.0077113206534698,0.0039738445670176,0.0002363684805656
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Efficiency High|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Electricity,EJ/yr,Year,1.650827270742643,1.6844746829141497,1.661184093518257,1.7806353993820965,1.9797209091551609,2.438368240663833,2.897015572172505,3.005375658489793,3.1137357448070806
